2021,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,0.25,0.23,,,,,,,,,,
2 cpu,14.49,13.74,,,,,,,,,,
3 cpu,0.85,0.81,,,,,,,,,,
4 cpu,43.22,42.17,,,,,,,,,,
6 cpu,28.67,29.48,,,,,,,,,,
8 cpu,11.08,11.95,,,,,,,,,,
10 cpu,0.4,0.48,,,,,,,,,,
12 cpu,0.79,0.87,,,,,,,,,,
16 cpu,0.18,0.2,,,,,,,,,,
2020,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,0.55,0.58,0.41,0.35,0.4,0.4,0.38,0.37,0.31,0.31,0.32,0.27
2 cpu,20.51,20.89,19.17,19.67,19.55,18.77,18.39,16.98,16.3,16.39,15.61,13.19
3 cpu,1.44,1.3,1.19,1.18,1.12,1.12,1.07,1.04,1.01,0.97,0.94,0.83
4 cpu,50.83,49.74,48.64,48.89,48.34,47.55,47.03,46.11,45.69,45.44,44.39,40.28
6 cpu,20.52,21.16,23.69,22.58,22.85,23.96,24.35,25.95,26.39,26.42,27.68,32.56
8 cpu,5.76,5.89,6.42,6.77,7.07,7.52,8.01,8.7,9.33,9.43,9.95,11.65
10 cpu,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0.13,0.16,0.2,0.25,0.35
12 cpu,0.21,0.25,0.27,0.33,0.37,0.43,0.49,0.54,0.61,0.64,0.66,0.68
16 cpu,0.07,0.07,0.08,0.1,0.1,0.11,0.13,0.12,0.14,0.14,0.14,0.15
2019,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,0.96,0.96,0.89,0.95,0.86,0.69,0.76,0.72,0.71,0.68,0.64,0.55
2 cpu,28.28,26.45,26.3,25.68,25.07,26.14,26.72,23.87,23.88,23.66,21.14,20.24
3 cpu,1.75,1.67,1.7,1.6,1.58,1.55,1.51,1.51,1.5,1.41,1.38,1.37
4 cpu,56.79,57.11,56.4,55.66,55.53,54.12,52.78,53.39,52.1,51.86,52.47,52.49
6 cpu,10.27,11.62,12.29,13.44,14.06,14.35,15,16.67,17.55,17.98,19.44,20.13
8 cpu,1.79,2.03,2.25,2.48,2.71,2.95,3.01,3.6,4,4.13,4.62,4.82
10 cpu,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.07
12 cpu,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.1,0.12,0.15,0.16
16 cpu,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06
2018,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1 cpu,0.59,0.69,0.74,1.04,1.14,1.04,1,0.97,0.96,0.94,1,1.11
